"migration_version","migration_name","production_history","classification","compared_production_objects","fingerprint_evidence","data_compatibility_notes","rehearsal_result","approved_action","reviewer","evidence_timestamp"
"20260521143000","admin_social_content","untracked","partially_present","public.community_news","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260521152000","community_news_sources","untracked","partially_present","public.community_news","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260526170000","user_pokedex_cards","untracked","partially_present","public.user_pokedex_cards","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260526171500","binder_cards_condition","untracked","partially_present","public.binder_cards","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260527120000","explicit_data_api_grants","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260527123000","repair_new_user_profile_trigger","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260528100000","binder_default_condition","untracked","partially_present","public.binders","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260528103000","binder_master_set_enabled","untracked","partially_present","public.binders","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260528110000","user_achievements","untracked","partially_present","public.user_achievement_events; public.user_achievements","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260528113000","user_coin_rewards","untracked","partially_present","public.profiles; public.user_coin_ledger; public.user_cosmetics","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260528114500","server_side_coin_awards","untracked","partially_present","public.achievement_coin_rewards; public.cosmetic_catalog","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Replay passed. The advisor found RLS missing on achievement_coin_rewards; the migration now enables RLS and grants authenticated read access through an explicit policy. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260528120500","remove_android_beta_email_opt_in","untracked","partially_present","public.profiles","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260529100000","binder_owner_rls","untracked","partially_present","public.binder_cards; public.binders","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260529102000","admin_binder_directory","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260529103000","admin_binder_directory_view","untracked","partially_present","public.admin_binder_directory_view","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260529195500","repair_user_pokedex_cards","untracked","partially_present","public.user_pokedex_cards","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260602120000","user_card_variants_quantity","untracked","partially_present","public.user_card_variants","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260602133000","binder_card_mode","untracked","partially_present","public.binders","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260603100000","binder_card_grading","untracked","partially_present","public.binder_cards","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260605120000","poketrace_api_cache","untracked","partially_present","public.poketrace_api_cache","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260605130000","binder_card_owned_quantity","untracked","partially_present","public.binder_cards","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260605133000","user_card_variants_unique_key","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260605214500","user_card_variants_allow_multiple_variants","untracked","partially_present","public.user_card_variants","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260621170000","rookie_accolade_rewards","untracked","not_present","functions, indexes, policies, grants, or seed rows named by the migration","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260623120000","binder_card_slab_metadata","untracked","partially_present","public.binder_cards","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260627120000","inventory_movements_and_binder_schema_repair","untracked","partially_present","public.binders; public.inventory_movements","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Initial replay failed because inventory_movements.binder_id was text while production binders.id is uuid. The foreign-key column now uses uuid and the clean replay passed.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260628100000","listing_media_metadata","untracked","partially_present","public.user_card_flags","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260628120000","strong_goblin_achievement_rewards","untracked","not_present","functions, indexes, policies, grants, or seed rows named by the migration","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260701195000","marketplace_schema_repair","untracked","partially_present","public.user_card_flags","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260702120000","owned_card_membership_model","untracked","partially_present","public.binder_cards; public.user_card_variants","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260707120000","japanese_card_pricing_support","untracked","partially_present","public.binder_cards; public.market_price_snapshots; public.pokemon_cards; public.pokemon_sets","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260707123000","price_refresh_scheduler","untracked","not_present","public.market_price_snapshots; public.market_watchlist; public.price_refresh_queue; public.price_refresh_runs; public.user_card_flags","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260714120000","performance_pricing_indexes","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260715120000","binder_language_support","untracked","partially_present","public.binders","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260715143000","minty_insight_platform","untracked","partially_present","public.card_market_metrics; public.market_snapshots; public.minty_insight_signals; public.minty_insights; public.price_alerts; public.price_observations; public.provider_mappings; public.provider_sync_logs; public.user_insight_interactions","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Initial replay reached a legacy price_alerts table without Minty columns. Guarded ADD COLUMN IF NOT EXISTS statements now complete the table and the clean replay passed.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260717120000","phase1_app_performance_indexes","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260717143000","japanese_catalogue_canonical_schema","untracked","partially_present","public.canonical_card_concepts; public.card_printings; public.card_variants; public.catalogue_review_queue; public.japanese_catalogue_health; public.market_prices; public.market_products; public.price_history; public.provider_mappings; public.provider_records; public.sealed_product_variants; public.sealed_products; public.sync_errors; public.sync_runs; public.tcg_cards; public.tcg_series; public.tcg_sets","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260718120000","tcgdex_catalogue_repair","untracked","partially_present","public.card_image_checks; public.card_images; public.card_price_checks; public.card_prices; public.card_printings; public.catalogue_health; public.catalogue_sync_errors; public.catalogue_sync_runs; public.market_prices; public.pokemon_cards; public.price_history; public.provider_card_records; public.tcg_card_printings; public.tcg_cards; public.tcg_sets","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260719110000","fast_global_search_indexes","untracked","partially_present","functions, indexes, policies, grants, or seed rows named by the migration","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260719123000","scan_learning_events","untracked","not_present","public.scan_learning_events","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260719133000","scan_learning_match_incorrect","untracked","not_present","public.scan_learning_events","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260720173000","secure_scan_recognition","untracked","not_present","public.scan_recognition_cache; public.scan_recognition_requests","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260720184000","scan_grading_jobs","untracked","not_present","public.scan_grading_jobs","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260720235000","scan_analytics_feedback","untracked","not_present","public.scan_learning_events","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260721090000","scanner_calibration","untracked","not_present","public.scanner_benchmark_cases; public.scanner_benchmark_results; public.scanner_benchmark_runs; public.scanner_threshold_sets","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260721123000","tcg_set_cover_images","untracked","partially_present","public.tcg_set_cover_images","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260726103000","scanner_recognition_rebuild","untracked","not_present","public.scanner_benchmark_cases; public.scanner_benchmark_results; public.scanner_confusion_pairs; public.scanner_feedback_review_queue; public.scanner_training_augmentations; public.scanner_training_samples","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260726162000","binder_set_branding_assets","untracked","partially_present","public.binders","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260726210000","pricing_engine_v2","untracked","partially_present","public.market_price_snapshots; public.price_observations; public.pricing_review_queue; public.pricing_sources","Production object inventory overlaps; exact production baseline was cloned before ordered replay.","Production overlaps one or more legacy targets, but has no migration ledger entry. Similar names were not treated as proof of application. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Replay idempotently in order; do not mark applied or repair history merely because objects overlap.","Codex rehearsal; human production approval required","2026-07-29"
"20260726223000","scan_lab_capture_queue","untracked","not_present","public.scan_lab_capture_events; public.scan_lab_captures","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260726234500","recognition_feedback_loop","untracked","not_present","public.recognition_feedback_events; public.recognition_feedback_items","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260727090000","shadow_mode_pilot","untracked","not_present","public.recognition_shadow_mode_pilot_items","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260727212256","canonical_stackr_catalogue_database","untracked","not_present","api.catalogue_card_names; api.catalogue_cards; api.catalogue_delta_changes; api.catalogue_sets; audit.catalogue_events; catalog.assets; catalog.card_concepts; catalog.card_names; catalog.card_printings; catalog.card_variants; catalog.catalogue_change_log; catalog.catalogue_versions; catalog.finishes; catalog.games; catalog.languages; catalog.rarities; catalog.sealed_product_variants; catalog.sealed_products; catalog.series; catalog.sets; catalog.variant_taxonomy; ingest.data_conflicts; ingest.external_identifiers; ingest.import_runs; ingest.raw_source_records; ingest.sources; market.market_identities; market.price_observations; market.price_summaries; ml.benchmark_cases; ml.recognition_feedback_items","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","The first failure was transport truncation, not PostgreSQL. Parser-safe statement chunks applied successfully without changing the migration SQL. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260727213835","stackr_data_ingestion_reconciliation","untracked","not_present","audit.ingest_merge_decisions; ingest.catalogue_quality_report; ingest.dead_letter_queue; ingest.import_checkpoints; ingest.provider_schedule_policies; ingest.raw_source_records; ingest.source_health_current; ingest.source_health_reports; ingest.work_queue","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260728060617","stackr_asset_repository_delivery_pipeline","untracked","not_present","api.asset_manifest; catalog.assets; ml.model_assets; ml.scan_upload_assets","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260728064400","embedding_model_registry_and_index_gates","untracked","not_present","api.embedding_index_manifest; ml.embedding_activation_events; ml.embedding_benchmark_results; ml.embedding_benchmark_runs; ml.embedding_generation_jobs; ml.embedding_index_versions; ml.embedding_models","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","The final chunk exceeded the client wait window but committed. Migration history and expected objects were checked before continuing; it was not replayed twice. Contains DML; the schema-only rehearsal does not prove live-row effects.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
"20260728152412","recognition_service_scan_diagnostics","untracked","not_present","ml.recognition_scan_diagnostics","Target schema or intended change absent from the read-only production inventory; ordered clone replay passed.","No tracked migration was found, and the target schema or intended change is absent from production. The migration passed in the ordered rehearsal.","passed_on_production_schema_baseline","Apply normally in order after backup, dry run, data review, and explicit approval.","Codex rehearsal; human production approval required","2026-07-29"
